ID,单词类别,猜词
common,common,common
id,word_type,word
int,int,string
1,1,寿司
2,1,三明治
3,1,鸡腿
4,1,木耳
5,1,鸡翅
6,1,汉堡
7,1,面包
8,1,蛋糕
9,1,烧饼
10,1,刀削面
11,1,排骨
12,1,云吞
13,1,地三鲜
14,1,盖浇饭
15,1,蛋挞
16,1,薯条
17,1,馅饼
18,1,春卷
19,1,油条
20,1,馒头
21,1,水饺
22,1,蒸饺
23,1,饭团
24,1,咸鸭蛋
25,1,皮蛋
26,1,蛋炒饭
27,1,麻花
28,1,臭豆腐
29,1,虾仁
30,1,火锅
31,1,毛豆
32,1,牛排
33,1,面条
34,1,龙虾
35,1,驴打滚
36,1,燕窝
37,1,打卤面
38,1,方便面
39,1,豆腐
40,1,包子
41,1,米饭
42,1,烤肉
43,1,鱿鱼
44,1,泡菜
45,1,夫妻肺片
46,1,虾米
47,1,香肠
48,1,馄饨
49,1,冷面
50,1,米线
51,1,带鱼
52,1,烤鱼
53,1,涮羊肉
54,1,三文鱼
55,1,金枪鱼
56,1,意大利面
57,1,扇贝
58,1,狗不理
59,1,腊八粥
60,1,烤羊肉
61,1,炒面
62,1,生蚝
63,1,鹅肝
64,1,烤全羊
65,1,炸酱面
66,1,鹌鹑蛋
67,1,花卷
68,1,肉夹馍
69,2,苹果
70,2,梨
71,2,葡萄
72,2,红提
73,2,枣
74,2,百香果
75,2,罗汉果
76,2,桃
77,2,西瓜
78,2,杏
79,2,菠萝蜜
80,2,香瓜
81,2,荔枝
82,2,甘蔗
83,2,火龙果
84,2,柠檬
85,2,香蕉
86,2,芒果
87,2,菠萝
88,2,哈密瓜
89,2,榴莲
90,2,石榴
91,2,枇杷
92,2,山楂
93,2,椰子
94,2,桑葚
95,2,龙眼
96,2,柚子
97,2,草莓
98,2,沙糖桔
99,2,木瓜
100,2,橙子
101,2,圣女果
102,2,西梅
103,2,蓝莓
104,2,乌梅
105,2,山竹
106,2,樱桃
107,2,百花果
108,2,杨梅
109,2,杨桃
110,2,猕猴桃
111,3,蒜苔
112,3,油菜
113,3,生菜
114,3,香菜
115,3,紫菜
116,3,猴头菇
117,3,地瓜
118,3,茄子
119,3,土豆
120,3,白萝卜
121,3,莲藕
122,3,胡萝卜
123,3,娃娃菜
124,3,红薯
125,3,紫薯
126,3,香菇
127,3,韭菜
128,3,洋葱
129,3,金针菇
130,3,杏鲍菇
131,3,小葱
132,3,冬瓜
133,3,南瓜
134,3,黄瓜
135,3,山药
136,3,苦瓜
137,3,蒜
138,3,大葱
139,4,⾷盐
140,4,⽣抽
141,4,⽼抽
142,4,醋
143,4,料酒
144,4,甜⾯酱
145,4,⾖瓣酱
146,4,⾖豉
147,4,番茄酱
148,4,芝⿇酱
149,4,⽩糖
150,4,冰糖
151,4,红糖
152,4,辣椒
153,4,⿇椒
154,4,花椒
155,4,⼋⾓
156,4,⾹叶
157,4,桂⽪
158,4,⿊胡椒
159,4,⽩胡椒
160,4,孜然
161,4,⼩茴⾹
162,4,五⾹粉
163,4,咖喱
164,4,⾖腐乳
165,4,剁椒
166,4,泡椒
167,4,辣椒粉
168,4,沙拉酱
169,4,鸡精
170,4,蚝油
171,4,生姜
172,4,辣椒酱
173,5,矿泉水
174,5,牛奶
175,5,豆奶
176,5,气泡水
177,5,纯净水
178,5,红茶
179,5,奶茶
180,5,绿茶
181,5,碳酸饮料
182,5,酸奶
183,5,啤酒
184,5,白酒
185,5,黄酒
186,5,葡萄酒
187,5,清酒
188,5,洋酒
189,5,鸡尾酒
190,5,米酒
191,5,茉莉花茶
192,5,梅酸汤
193,5,凉茶
194,5,咖啡
195,5,豆浆
196,5,干红
197,5,伏特加
198,5,酸梅汤
199,5,黑胡椒
200,6,饼干
201,6,冰淇淋
202,6,巧克力
203,6,糖果
204,6,口香糖
205,6,泡泡糖
206,6,果冻
207,6,干脆面
208,6,爆米花
209,6,棉花糖
210,6,QQ糖
211,6,奶糖
212,6,话梅糖
213,6,牛轧糖
214,6,薄荷糖
215,6,薯片
216,6,芝麻糊
217,6,水果糖
218,6,棒棒糖
219,6,果脯
220,6,蜜饯
221,6,话梅
222,6,牛肉干
223,6,牛皮糖
224,6,猫耳朵
225,7,板栗
226,7,榛子
227,7,腰果
228,7,核桃
229,7,瓜子
230,7,松仁
231,7,杏仁
232,7,白果
233,7,开心果
234,7,碧根果
235,7,无花果
236,7,锥栗
237,7,霹雳果
238,7,葡萄干
239,7,花生
240,7,巴旦木
241,7,夏威夷果
242,7,栗子
243,7,沙漠果
244,7,榧子
245,7,白瓜子
246,8,死亡
247,8,治疗
248,8,手术
249,8,病人
250,8,残疾人
251,8,中医
252,8,骨折
253,8,细菌
254,8,病毒
255,8,担架
256,8,胶囊
257,8,人参
258,8,植物人
259,8,脂肪肝
260,8,创可贴
261,8,锁骨
262,8,发烧
263,8,口罩
264,8,脚气
265,8,肌肉
266,8,太阳穴
267,8,中暑
268,8,基因
269,8,膏药
270,9,工人
271,9,农民
272,9,厨师
273,9,程序员
274,9,医生
275,9,消防员
276,9,警察
277,9,保安
278,9,和尚
279,9,尼姑
280,9,记者
281,9,摄像师
282,9,教师
283,9,司机
284,9,战士
285,9,法师
286,9,骑士
287,9,牧师
288,9,神父
289,10,钢琴
290,10,小提琴
291,10,吉他
292,10,架子鼓
293,10,二胡
294,10,古筝
295,10,琵琶
296,10,小号
297,10,长号
298,10,圆号
299,10,手风琴
300,10,萨克斯
